gender,age,class,religion,heard_of_pill,heard_of_condoms,heard_of_injectables,heard_of_iud,heard_of_implants,heard_of_emergency_pill,heard_of_female_sterilization,heard_of_male_sterilization,heard_of_withdrawal,heard_of_rhythm,last_sex_condom,last_sex_pill,last_sex_implant,last_sex_iud,last_sex_injectable,last_sex_emergency,last_sex_withdrawal,last_sex_rhythm,last_sex_no_method,reason_not_using,knows_fp_source,knows_condom_source,ever_had_sex,myth_condoms_mean_promiscuous,myth_condoms_mean_no_trust,myth_contraceptives_encourage_sex,myth_acceptable_to_beat_wife,myth_sex_only_man_woman,hiv_hiv_unprotected_sex,hiv_hiv_shared_needles,hiv_hiv_mosquito_bites,hiv_hiv_mother_to_child,hiv_hiv_shaking_hands,hiv_hiv_blood_transfusion,prevent_hiv_abstinence,prevent_hiv_condoms,prevent_hiv_one_partner,info_source_teacher,info_source_health_center,info_source_internet,info_source_radio_tv,info_source_father,info_source_mother,info_source_friend,info_source_partner,should_rh_be_taught,knows_any_method
female,15,form 2,Protestant/other Christian,yes,yes,no,yes,no,yes,yes,yes,no,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,yes,yes,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,1
female,16,form 2,Islamic/Muslim,yes,yes,yes,yes,no,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,yes,yes,1
female,17,form 2,Protestant/other Christian,yes,yes,yes,yes,no,yes,no,no,no,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,1
female,15,form 3,Protestant/other Christian,yes,yes,yes,no,no,yes,no,no,no,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,1
female,17,form 3,Protestant/other Christian,yes,yes,yes,yes,no,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,1
female,16,form 2,Catholic,yes,yes,no,yes,no,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,yes,no,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,1
female,15,form 2,Protestant/other Christian,yes,yes,no,yes,no,yes,yes,yes,no,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,yes,yes,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,1
female,15,form 2,Protestant/other Christian,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,na,no,no,yes,agree,disagree,disagree,disagree,disagree,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,1
female,17,form 3,Protestant/other Christian,no,yes,yes,yes,yes,yes,no,yes,no,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,yes,no,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,1
female,16,form 3,Catholic,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,,disagree,agree,disagree,prefer not to answer,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,1
female,16,form 2,Catholic,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,1
female,16,form 3,Protestant/other Christian,yes,yes,no,no,no,no,no,no,no,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,prefer not to answer,disagree,agree,disagree,agree,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,1
female,15,form 2,Protestant/other Christian,yes,yes,no,no,no,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,1
female,16,form 3,Protestant/other Christian,yes,yes,no,no,yes,no,yes,yes,no,no,na,na,na,na,na,na,na,na,na,missing,no,no,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,1
female,16,form 3,Protestant/other Christian,yes,yes,no,no,no,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,1
female,15,form 3,Protestant/other Christian,yes,yes,no,no,no,yes,yes,yes,yes,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,1
female,15,form 2,Catholic,yes,yes,no,no,no,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,prefer not to answer,disagree,disagree,disagree,prefer not to answer,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,1
female,15,form 2,Catholic,yes,yes,no,no,yes,no,yes,yes,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,1
female,16,form 3,Protestant/other Christian,yes,yes,no,no,no,yes,yes,yes,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,1
female,16,form 3,Protestant/other Christian,yes,yes,no,no,no,no,yes,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1
female,16,form 2,Protestant/other Christian,yes,yes,no,no,yes,yes,no,no,yes,yes,na,na,na,na,na,na,na,na,na,other,no,no,no,agree,disagree,agree,disagree,disagree,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,1
female,15,form 3,Protestant/other Christian,yes,yes,no,no,no,no,yes,yes,no,yes,na,na,na,na,na,na,na,na,na,other,no,no,no,prefer not to answer,disagree,disagree,disagree,disagree,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,1
female,16,form 2,Protestant/other Christian,yes,yes,yes,yes,yes,yes,yes,yes,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,agree,disagree,disagree,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,1
female,16,form 3,Protestant/other Christian,yes,yes,no,no,no,no,yes,yes,yes,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,disagree,agree,disagree,disagree,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,1
female,15,form 2,Protestant/other Christian,yes,yes,no,no,no,no,yes,no,no,no,na,na,na,na,na,na,na,na,na,other,no,no,no,disagree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,1
female,15,form 2,Catholic,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,dtk,no,no,Prefer not to answer,prefer not to answer,prefer not to answer,,disagree,agree,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,1
female,17,form 3,Protestant/other Christian,yes,yes,no,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,1
female,14,form 2,Catholic,no,yes,no,no,yes,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,1
female,15,form 3,Protestant/other Christian,yes,yes,no,no,no,yes,no,no,no,yes,na,na,na,na,na,na,na,na,na,other,no,no,no,agree,disagree,agree,disagree,agree,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,1
female,15,form 2,Protestant/other Christian,yes,yes,no,no,no,no,no,no,yes,no,na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no,no,no,disagree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,1
female,15,form 3,Protestant/other Christian,yes,yes,yes,no,yes,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,prefer not to answer,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1
female,16,form 3,Catholic,yes,yes,yes,yes,no,yes,no,no,no,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,no,yes,1
female,16,form 2,Catholic,no,yes,no,no,no,no,yes,no,no,no,na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,yes,yes,no,disagree,disagree,prefer not to answer,disagree,agree,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,1
female,16,form 3,Islamic/Muslim,yes,yes,no,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,1
female,16,form 3,Catholic,yes,yes,yes,no,no,yes,no,yes,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,prefer not to answer,prefer not to answer,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,1
female,17,form 3,Protestant/other Christian,yes,yes,yes,yes,yes,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no,no,no,disagree,prefer not to answer,disagree,disagree,disagree,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,1
female,15,form 2,Protestant/other Christian,yes,yes,no,no,no,yes,yes,yes,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,1
female,15,form 2,Protestant/other Christian,yes,yes,yes,yes,yes,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no,no,no,disagree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,1
female,17,form 3,Protestant/other Christian,yes,yes,no,no,no,yes,yes,yes,no,yes,na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,yes,yes,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,1
female,16,form 3,Protestant/other Christian,yes,yes,no,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,yes,no,no,disagree,disagree,disagree,prefer not to answer,agree,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,1
male,15,form 2,Protestant/other Christian,yes,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,na,no,yes,yes,agree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,1
female,16,form 3,Protestant/other Christian,yes,yes,yes,yes,no,yes,no,no,no,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,1
male,18,form 3,Protestant/other Christian,no,yes,no,no,no,no,yes,no,no,no,na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,yes,yes,no,agree,agree,agree,prefer not to answer,agree,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,1
female,15,form 3,Protestant/other Christian,yes,yes,no,no,no,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,prefer not to answer,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,1
female,16,form 2,Protestant/other Christian,yes,yes,no,yes,yes,yes,no,no,yes,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,disagree,disagree,agree,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,1
female,14,form 2,Protestant/other Christian,yes,no,no,no,no,no,no,no,yes,no,na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no,no,no,disagree,prefer not to answer,agree,disagree,disagree,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,1
female,16,form 3,Protestant/other Christian,yes,yes,no,no,no,yes,no,no,yes,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,yes,no,disagree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,1
female,15,form 3,Protestant/other Christian,yes,yes,no,yes,no,no,no,no,yes,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,agree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,yes,no,yes,1
female,17,form 3,Protestant/other Christian,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,na,no,no,yes,disagree,prefer not to answer,agree,disagree,prefer not to answer,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,1
female,16,form 3,Protestant/other Christian,yes,yes,no,yes,yes,yes,yes,yes,no,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,1
female,15,form 2,Catholic,yes,yes,no,no,no,no,yes,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,,agree,disagree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,1
female,15,form 2,Protestant/other Christian,yes,yes,no,no,yes,yes,yes,yes,yes,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,1
female,16,form 2,Catholic,no,yes,no,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,yes,no,no,disagree,disagree,agree,disagree,agree,yes,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,1
male,15,form 2,Protestant/other Christian,no,no,no,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,,,no,agree,agree,agree,prefer not to answer,agree,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,yes,1
male,17,form 3,Protestant/other Christian,no,yes,no,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,yes,1
male,17,form 3,Protestant/other Christian,yes,yes,no,yes,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,agree,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,1
female,16,form 2,Protestant/other Christian,yes,yes,no,no,yes,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,1
male,16,form 2,Protestant/other Christian,yes,yes,no,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,other,no,no,no,prefer not to answer,prefer not to answer,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,yes,yes,1
male,17,form 2,Catholic,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,na,no,no,yes,disagree,disagree,disagree,agree,agree,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,1
female,16,form 3,Protestant/other Christian,no,yes,no,no,no,yes,no,no,no,yes,na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no,no,no,disagree,disagree,disagree,disagree,prefer not to answer,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,1
male,17,form 3,Protestant/other Christian,no,yes,no,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,1
male,18,form 3,Protestant/other Christian,yes,yes,no,no,yes,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,agree,agree,agree,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,1
female,16,form 3,Protestant/other Christian,yes,yes,no,yes,no,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,yes,no,disagree,agree,agree,disagree,prefer not to answer,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,1
female,15,form 2,Islamic/Muslim,yes,yes,yes,no,yes,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,other,no,no,no,disagree,disagree,agree,disagree,disagree,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,1
female,17,form 3,Protestant/other Christian,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,na,,,yes,disagree,agree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1
male,17,form 2,Protestant/other Christian,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,na,no,no,yes,agree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,1
male,15,form 2,Protestant/other Christian,yes,yes,no,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,yes,no,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,1
female,16,form 3,Protestant/other Christian,yes,yes,no,no,no,no,no,no,no,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,no,yes,1
male,18,form 2,Catholic,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,na,no,yes,yes,disagree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,1
female,15,form 2,Catholic,yes,yes,no,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,prefer not to answer,disagree,disagree,agree,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,1
female,15,form 3,Catholic,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no,yes,no,agree,disagree,disagree,disagree,disagree,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,1
male,19,form 3,Protestant/other Christian,yes,yes,no,no,no,no,yes,yes,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,1
female,16,form 2,Catholic,yes,no,yes,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,yes,no,no,agree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,no,yes,1
female,16,form 3,Protestant/other Christian,yes,yes,no,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,prefer not to answer,agree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,1
male,16,form 2,Protestant/other Christian,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,na,yes,yes,yes,agree,disagree,agree,disagree,disagree,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,1
male,16,form 2,Catholic,yes,yes,no,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,dtk,no,no,no,agree,disagree,disagree,disagree,agree,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,yes,1
male,19,form 3,Protestant/other Christian,yes,yes,yes,yes,yes,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,yes,yes,no,disagree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1
female,16,form 3,Catholic,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,na,no,no,yes,disagree,prefer not to answer,agree,disagree,prefer not to answer,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,1
male,18,form 3,Protestant/other Christian,yes,yes,yes,yes,yes,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,yes,yes,no,disagree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,1
male,17,form 3,Protestant/other Christian,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,na,yes,yes,yes,disagree,disagree,agree,disagree,agree,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,1
male,19,form 3,Protestant/other Christian,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,na,yes,yes,yes,prefer not to answer,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,1
female,15,form 2,Protestant/other Christian,yes,yes,yes,no,no,no,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,agree,agree,disagree,agree,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,1
female,15,form 2,Protestant/other Christian,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,na,yes,no,yes,disagree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,1
female,15,form 2,Catholic,yes,yes,no,yes,no,yes,no,no,no,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,disagree,disagree,disagree,disagree,disagree,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,1
female,16,form 2,Protestant/other Christian,no,yes,no,no,no,yes,yes,yes,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,yes,yes,no,prefer not to answer,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,1
male,16,form 2,Protestant/other Christian,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,na,no,no,yes,disagree,prefer not to answer,disagree,disagree,agree,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,1
male,15,form 2,Catholic,yes,yes,yes,yes,yes,yes,yes,yes,no,no,na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no,no,no,agree,agree,agree,disagree,disagree,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,1
female,15,form 3,Catholic,yes,yes,no,yes,no,no,no,yes,no,no,na,na,na,na,na,na,na,na,na,dtk,no,no,no,prefer not to answer,disagree,prefer not to answer,disagree,agree,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,1
male,17,form 3,Catholic,no,yes,no,no,no,no,no,no,no,yes,na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no,yes,no,disagree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,1
female,16,form 3,Catholic,yes,yes,yes,yes,no,yes,no,no,no,no,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,disagree,disagree,disagree,agree,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,1
male,15,form 2,Protestant/other Christian,yes,yes,no,yes,no,no,no,no,no,yes,na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no,no,no,disagree,disagree,prefer not to answer,disagree,agree,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,1
male,16,form 3,Protestant/other Christian,yes,yes,yes,no,no,yes,no,no,no,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,prefer not to answer,prefer not to answer,prefer not to answer,agree,agree,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1
female,15,form 2,Protestant/other Christian,no,yes,yes,no,no,no,no,no,yes,yes,na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no,no,no,agree,agree,disagree,disagree,agree,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,1
